Origin_Country,2015_TB,2016_TB,2017_TB,2018_TB,2019_TB,2020_TB,2021_TB,2022_TB,2015_Pop,2016_Pop,2017_Pop,2018_Pop,2019_Pop,2020_Pop,2021_Pop,2022_Pop
Venezuela,4.968848157,5.417966743,5.87040217,5.733936736,5.455362277,5.461812407,5.987159146,4.700359397,3070,3475,3230,3235,3045,2315,3875,2720
Haiti,13.34751636,13.85019177,13.58908885,12.92562411,12.90308629,12.10399766,13.82589138,14.11909396,3185,3550,2945,2795,2210,1755,4180,6435
Cameroon,14.54591998,14.79767915,15.32178429,14.74640055,16.07628753,14.61720673,15.3330784,16.88788894,3445,3680,3915,4170,5330,3540,5750,10680
Israel,4.134407427,4.333927465,3.615167355,3.198150057,2.680605602,2.335375718,2.287121854,1.728310194,3490,4030,3435,3315,3005,1890,2815,2570
Hong Kong SAR,3.978290527,4.658187497,4.668911336,4.278673097,4.220643386,5.294727164,9.445211572,13.81062769,3530,4530,4680,4790,5090,4535,12670,22815
Italy,4.422964496,5.131079473,5.582335596,5.608956463,6.006795746,3.86515899,5.106996655,3.731559585,3630,4610,5165,5795,6765,3090,6435,5660
Spain,4.712316094,4.882491016,5.006948234,4.82329465,4.649747196,3.039182377,4.309540107,3.802532843,3735,4115,4370,4670,4830,2225,5040,5525
Colombia,5.960187721,6.741631427,7.428875629,8.21712577,9.804247822,10.4586622,14.48429252,15.03316208,3905,4815,5500,7010,9075,7120,15725,19680
Taiwan,4.575597604,5.172336228,5.372240928,5.14512673,5.435425815,4.419083201,3.529840315,3.389853826,4060,5030,5385,5760,6555,3785,4735,5600
Iraq,6.532461416,4.593026328,6.855238018,6.825731638,5.708200474,4.075075134,3.849280181,3.87561392,4145,2620,4925,5585,4685,2125,2995,3880
Algeria,8.607244067,8.188604119,8.24439969,8.796070642,9.971656835,10.54950978,9.616024632,11.65159552,4290,4270,4135,5270,7235,5990,8020,13655
Russia,8.554218998,8.744577412,8.380237339,7.353420791,7.418642588,6.979658645,6.911816508,5.667249639,4600,5180,4920,4650,5020,3405,5025,5085
Morocco,10.68659812,10.13322789,10.75799282,11.22581225,12.87157412,14.80574144,14.10691482,14.60334091,4930,4420,4885,6000,7905,7640,10430,13925
Egypt,6.395094937,5.654250706,5.513715523,5.659678775,5.789836677,4.935887401,5.183716235,4.110071632,5005,4760,4760,5540,6040,3650,6050,5715
Ukraine,10.23473676,12.005578,11.88155747,10.71183274,10.46217072,9.469802363,10.09653472,59.69201798,5020,7085,6955,6685,6570,4225,6225,88740
Bangladesh,16.9821228,18.07249442,19.94341454,20.63006308,22.4308352,20.98101163,24.01059259,23.42488753,5205,5915,6955,8435,9695,6365,12240,14460
Jamaica,6.729104435,7.174583593,7.134779138,6.531612902,6.551789903,5.922612996,6.082458135,4.66767882,5770,6745,6845,7080,7650,4910,7870,7360
Vietnam,16.80531152,19.45832516,24.46615383,25.99658814,26.91761716,28.26264264,25.77749518,23.76371087,6030,8740,13435,17030,18640,15280,19670,19955
Ireland,9.777587878,8.868656839,9.433189817,10.24948462,9.109208866,5.006724263,5.031010681,4.52698439,8350,8250,9025,11010,10530,4010,6315,6985
Saudi Arabia,10.24502784,7.519537409,7.024576764,4.442556961,2.457112888,2.317077494,1.871825677,1.473566702,8555,6785,6475,4330,2225,1575,1770,1535
Germany,10.49141421,10.58247554,11.46656347,10.05296937,9.543346638,5.456221497,7.20264214,6.603756284,8970,9885,11075,10790,11030,4395,9210,10350
Mexico,12.29200198,12.71565915,13.15043263,12.93048163,13.74925463,13.17880601,17.87199337,16.98912003,9925,11205,11825,12950,14775,10080,21715,24995
